rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
33,4608,24,72,64,72,12288,bf16,bf16,8,6.41,6.41,dense,0,0,0,1,2.0587,13435,4.7,1.9,high
34,4608,32,72,64,18,12288,bf16,fp8,16,7.43,7.43,dense,0,0,0,1,2.0588,21094,5.3,1.1,high
35,4608,29,72,64,9,12288,bf16,bf16,8,6.61,6.61,dense,0,0,0,1,2.0595,12745,5.3,1.7,high
36,6144,17,48,128,12,16384,bf16,bf16,16,7.13,7.13,dense,0,0,0,1,2.0605,13767,3.7,2.0,high
37,4608,33,72,64,9,12288,bf16,fp8,16,7.48,7.48,dense,0,0,0,1,2.0605,20780,5.4,1.0,medium
38,4608,29,72,64,36,12288,bf16,fp8,16,7.07,7.07,dense,0,0,0,1,2.0607,22863,4.9,1.2,high
39,4608,31,72,64,18,12288,bf16,fp8,16,7.21,7.21,dense,0,0,0,1,2.0610,21771,5.1,1.1,high
40,4608,26,72,64,72,12288,bf16,fp8,16,6.92,6.92,dense,0,0,0,1,2.0618,23514,4.7,1.4,high
41,4608,32,72,64,9,12288,bf16,fp8,16,7.26,7.26,dense,0,0,0,1,2.0625,21427,5.2,1.0,medium
42,4608,30,72,64,18,12288,bf16,fp8,16,6.98,6.98,dense,0,0,0,1,2.0634,22494,5.0,1.0,high
43,4608,28,72,64,36,12288,bf16,fp8,16,6.84,6.84,dense,0,0,0,1,2.0634,23676,4.7,1.1,high
44,6144,16,48,128,24,16384,bf16,bf16,16,7.04,7.04,dense,0,0,0,1,2.0639,14233,3.6,2.1,high
45,4608,31,72,64,9,12288,bf16,fp8,16,7.04,7.04,dense,0,0,0,1,2.0648,22116,5.1,1.0,medium
46,4608,25,72,64,72,12288,bf16,fp8,16,6.67,6.67,dense,0,0,0,1,2.0652,24451,4.5,1.3,high
47,4608,29,72,64,18,12288,bf16,fp8,16,6.76,6.76,dense,0,0,0,1,2.0659,23267,4.8,1.0,high
48,4608,27,72,64,36,12288,bf16,fp8,16,6.6,6.6,dense,0,0,0,1,2.0663,24549,4.6,1.1,high
49,6144,19,48,128,12,16384,bf16,fp8,16,7.92,7.92,dense,0,0,0,1,2.0667,23640,3.4,1.2,medium
50,4608,30,72,64,9,12288,bf16,fp8,16,6.82,6.82,dense,0,0,0,1,2.0671,22850,4.9,0.9,medium
51,6144,16,48,128,12,16384,bf16,bf16,16,6.74,6.74,dense,0,0,0,1,2.0686,14624,3.4,1.9,high
52,4608,28,72,64,18,12288,bf16,fp8,16,6.54,6.54,dense,0,0,0,1,2.0686,24094,4.6,1.0,high
53,6144,18,48,128,24,16384,bf16,fp8,16,7.87,7.87,dense,0,0,0,1,2.0687,24246,3.4,1.2,medium
54,4608,24,72,64,72,12288,bf16,fp8,16,6.41,6.41,dense,0,0,0,1,2.0689,25465,4.3,1.3,high
55,4608,29,72,64,9,12288,bf16,fp8,16,6.61,6.61,dense,0,0,0,1,2.0697,23635,4.7,0.9,medium
56,4608,26,72,64,72,12288,bf16,fp8,8,6.92,6.92,dense,0,0,0,1,2.0719,23514,4.5,1.1,high
57,6144,15,48,128,24,16384,bf16,bf16,16,6.62,6.62,dense,0,0,0,1,2.0728,15179,3.4,2.0,high
58,6144,18,48,128,12,16384,bf16,fp8,16,7.53,7.53,dense,0,0,0,1,2.0734,24946,3.3,1.1,medium
59,4608,25,72,64,72,12288,bf16,fp8,8,6.67,6.67,dense,0,0,0,1,2.0753,24451,4.3,1.1,high
60,6144,17,48,128,24,16384,bf16,fp8,16,7.45,7.45,dense,0,0,0,1,2.0760,25664,3.2,1.2,medium
61,6144,14,48,128,48,16384,bf16,bf16,16,6.74,6.74,dense,0,0,0,1,2.0761,14367,3.4,2.1,high
62,4608,27,72,64,36,12288,bf16,fp8,8,6.6,6.6,dense,0,0,0,1,2.0765,24549,4.5,1.0,high
63,6144,19,48,128,12,16384,bf16,fp8,8,7.92,7.92,dense,0,0,0,1,2.0768,23640,3.4,1.1,medium
64,4608,30,72,64,9,12288,bf16,fp8,8,6.82,6.82,dense,0,0,0,1,2.0772,22850,4.9,0.9,medium
65,6144,15,48,128,12,16384,bf16,bf16,16,6.34,6.34,dense,0,0,0,1,2.0776,15596,3.2,1.8,high
66,4608,28,72,64,18,12288,bf16,fp8,8,6.54,6.54,dense,0,0,0,1,2.0788,24094,4.6,0.9,high
67,4608,24,72,64,72,12288,bf16,fp8,8,6.41,6.41,dense,0,0,0,1,2.0790,25465,4.1,1.0,high
68,4608,29,72,64,9,12288,bf16,fp8,8,6.61,6.61,dense,0,0,0,1,2.0798,23635,4.7,0.9,medium
69,6144,17,48,128,12,16384,bf16,fp8,16,7.13,7.13,dense,0,0,0,1,2.0807,26404,3.1,1.0,medium
70,6144,14,48,128,24,16384,bf16,bf16,16,6.21,6.21,dense,0,0,0,1,2.0828,16259,3.2,1.8,high
71,6144,18,48,128,12,16384,bf16,fp8,8,7.53,7.53,dense,0,0,0,1,2.0834,24946,3.2,1.0,medium
72,6144,16,48,128,24,16384,bf16,fp8,16,7.04,7.04,dense,0,0,0,1,2.0841,27258,3.0,1.1,medium
73,6144,15,48,128,48,16384,bf16,fp8,16,7.19,7.19,dense,0,0,0,1,2.0864,26279,3.0,1.3,medium
74,6144,13,48,128,48,16384,bf16,bf16,16,6.28,6.28,dense,0,0,0,1,2.0872,15468,3.1,2.0,high
75,6144,15,48,128,12,16384,bf16,bf16,8,6.34,6.34,dense,0,0,0,1,2.0877,15596,3.2,1.8,high
