rank,selected,objective_profile,objective_score,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,activation_prec,kv_bits,active_params_B,total_params_B,architecture_family,attention_type,mla_kv_latent,mla_q_latent,nsa_select_top_k,nsa_window,csa_block,csa_top_k,csa_dim,indexshare_buckets,indexshare_top_k,indexshare_dim,msa_window,msa_dilated_top_k,msa_global_top_k,yoco_self_attn_layers,yoco_share_pattern,cp,cp_method,rope_method,rope_factor,mtp_depth,tp,pp,dp,state_layers,attention_layers,placement_strategy,local_attn_layers,local_window,moe_style,n_experts,top_k,expert_dim,ep,vocab_size,predicted_loss,loss_ci_low,loss_ci_high,uncertainty_total_pct,training_tps,training_tps_per_gpu,serving_tbt_ms,serving_ttft_ms,training_memory_gb,memory_gb,confidence
1181,False,serving_cost,19.41257946,6144,86,24,192,24,16384,bf16,fp8,bf16,16,31.16657,31.16657,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,86,none,0,0,dense,0,0,0,1,128256,1.9544,1.7959,2.1129,8.11,26220,3278,279.0,6504.0,7.7,470.9,medium
1182,False,serving_cost,19.42920933,8192,45,32,192,32,21888,bf16,fp8,bf16,16,31.303352,31.303352,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,45,none,0,0,dense,0,0,0,1,256000,1.9212,1.7659,2.0765,8.08,7558,7558,214.6,35528.1,63.4,923.6,medium
1183,False,serving_cost,19.49639345,14336,10,112,128,14,38272,fp8,fp8,bf16,16,28.424561,28.424561,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,10,none,0,0,dense,0,0,0,1,256000,2.6012,2.2895,2.9129,11.98,13558,13558,232.9,16828.7,58.9,1108.6,low
1184,False,serving_cost,19.55238547,8192,67,64,128,16,21504,bf16,bf16,bf16,16,31.519195,656.034284,moe,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,67,none,0,0,fine,384,8,1024,8,128256,1.8997,1.7473,2.0521,8.02,13008,1626,211.2,7960.6,154.3,388.3,medium
1185,False,serving_cost,19.83582259,9216,30,72,128,8,24576,bf16,fp8,bf16,8,30.765773,30.765773,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,30,none,0,0,dense,0,0,0,1,256000,1.9945,1.8324,2.1565,8.13,8470,8470,226.6,30514.2,63.2,960.7,medium
1186,False,serving_cost,19.87719666,8192,46,32,192,32,21888,bf16,fp8,bf16,16,31.905776,31.905776,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,46,none,0,0,dense,0,0,0,1,256000,1.9193,1.7642,2.0744,8.08,7394,7394,219.8,36358.0,64.5,933.5,medium
1187,False,serving_cost,19.88014617,8192,43,64,128,4,21888,bf16,bf16,bf16,8,30.337057,30.337057,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,43,none,0,0,dense,0,0,0,1,65536,1.9772,1.8184,2.1360,8.03,5017,5017,214.2,41103.6,67.1,904.2,medium
1188,False,serving_cost,19.95624311,7168,55,56,192,56,19072,bf16,bf16,bf16,8,31.198218,31.198218,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,55,none,0,0,dense,0,0,0,1,256000,1.9108,1.7564,2.0652,8.08,3970,3970,171.9,73045.5,68.1,821.2,medium
1189,False,serving_cost,20.08166077,10240,25,80,128,20,27264,bf16,fp8,bf16,4,30.119547,30.119547,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,25,none,0,0,dense,0,0,0,1,128256,2.0558,1.8824,2.2291,8.43,8207,8207,230.3,29081.3,62.5,1006.6,medium
1190,False,serving_cost,20.13707577,8192,41,64,192,64,21888,fp8,fp8,bf16,16,30.828282,30.828282,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,41,none,0,0,dense,0,0,0,1,256000,1.9702,1.8078,2.1327,8.24,6597,6597,192.0,59568.4,60.6,879.0,medium
