rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
223,6144,11,48,128,12,16384,bf16,fp8,8,4.75,4.75,dense,0,0,0,1,2.1298,40671,2.0,0.8,medium
224,6144,10,48,128,24,16384,bf16,fp8,16,4.55,4.55,dense,0,0,0,1,2.1314,43447,2.2,1.1,medium
225,6144,14,48,128,1,16384,bf16,fp8,8,5.7,5.7,dense,0,0,0,1,2.1317,32168,2.6,0.8,low
226,6144,13,48,128,1,16384,bf16,fp8,16,5.32,5.32,dense,0,0,0,1,2.1331,34622,2.5,0.8,low
227,6144,12,96,64,12,16384,bf16,fp8,8,5.04,5.04,dense,0,0,0,1,2.1333,37404,2.2,0.8,low
228,6144,10,48,128,12,16384,bf16,fp8,16,4.36,4.36,dense,0,0,0,1,2.1365,44695,1.9,0.9,medium
229,6144,11,96,64,12,16384,bf16,fp8,16,4.65,4.65,dense,0,0,0,1,2.1379,40772,2.0,0.8,low
230,7680,9,120,64,120,20480,bf16,fp8,4,4.74,37.65,fine,128,4,1280,8,2.1391,34925,1.9,1.3,low
231,6144,13,48,128,1,16384,bf16,fp8,8,5.32,5.32,dense,0,0,0,1,2.1432,34622,2.4,0.7,low
232,6144,12,48,128,1,16384,bf16,fp8,16,4.94,4.94,dense,0,0,0,1,2.1460,37482,2.3,0.7,low
233,6144,10,48,128,12,16384,bf16,fp8,8,4.36,4.36,dense,0,0,0,1,2.1466,44695,1.8,0.7,medium
234,10752,5,168,64,42,28672,bf16,bf16,16,4.45,40.28,fine,128,4,1792,1,2.1474,29958,1.5,10.0,medium
235,10752,5,168,64,42,28672,bf16,bf16,16,4.45,40.28,fine,128,4,1792,2,2.1474,27483,1.5,5.7,medium
236,10752,5,168,64,42,28672,bf16,bf16,16,4.45,40.28,fine,128,4,1792,4,2.1474,26389,1.5,3.5,medium
237,10752,5,168,64,42,28672,bf16,bf16,16,4.45,40.28,fine,128,4,1792,8,2.1474,25563,1.5,2.5,medium
238,6144,11,96,64,12,16384,bf16,fp8,8,4.65,4.65,dense,0,0,0,1,2.1480,40772,2.0,0.7,low
239,6144,12,48,128,1,16384,bf16,fp8,8,4.94,4.94,dense,0,0,0,1,2.1561,37482,2.2,0.7,low
240,10752,5,168,64,42,28672,bf16,bf16,8,4.45,40.28,fine,128,4,1792,1,2.1575,29958,1.5,9.9,medium
241,10752,5,168,64,42,28672,bf16,bf16,8,4.45,40.28,fine,128,4,1792,2,2.1575,27483,1.5,5.6,medium
242,10752,5,168,64,42,28672,bf16,bf16,8,4.45,40.28,fine,128,4,1792,4,2.1575,26389,1.5,3.4,medium
243,10752,5,168,64,42,28672,bf16,bf16,8,4.45,40.28,fine,128,4,1792,8,2.1575,25563,1.5,2.4,medium
244,6144,12,96,64,1,16384,bf16,fp8,16,4.93,4.93,dense,0,0,0,1,2.1607,37490,2.2,0.7,low
245,6144,11,48,128,1,16384,bf16,fp8,16,4.56,4.56,dense,0,0,0,1,2.1608,40857,2.1,0.7,low
246,10752,5,168,64,84,28672,bf16,fp8,16,4.73,40.57,fine,128,4,1792,1,2.1611,51146,1.4,5.3,medium
247,10752,5,168,64,84,28672,bf16,fp8,16,4.73,40.57,fine,128,4,1792,2,2.1611,47516,1.4,3.2,medium
248,10752,5,168,64,84,28672,bf16,fp8,16,4.73,40.57,fine,128,4,1792,4,2.1611,45873,1.4,2.1,medium
249,10752,5,168,64,84,28672,bf16,fp8,16,4.73,40.57,fine,128,4,1792,8,2.1611,44620,1.4,1.6,medium
250,10752,5,168,64,42,28672,bf16,fp8,16,4.45,40.28,fine,128,4,1792,1,2.1677,52865,1.2,5.1,medium
251,10752,5,168,64,42,28672,bf16,fp8,16,4.45,40.28,fine,128,4,1792,2,2.1677,48996,1.2,2.9,medium
252,10752,5,168,64,42,28672,bf16,fp8,16,4.45,40.28,fine,128,4,1792,4,2.1677,47251,1.2,1.9,medium
253,10752,5,168,64,42,28672,bf16,fp8,16,4.45,40.28,fine,128,4,1792,8,2.1677,45923,1.2,1.3,medium
254,6144,11,48,128,1,16384,bf16,fp8,8,4.56,4.56,dense,0,0,0,1,2.1709,40857,2.0,0.7,low
255,6144,11,96,64,1,16384,bf16,fp8,16,4.55,4.55,dense,0,0,0,1,2.1756,40866,2.0,0.7,low
256,10752,5,168,64,42,28672,bf16,fp8,8,4.45,40.28,fine,128,4,1792,1,2.1779,52865,1.1,5.0,medium
257,10752,5,168,64,42,28672,bf16,fp8,8,4.45,40.28,fine,128,4,1792,2,2.1779,48996,1.1,2.8,medium
258,10752,5,168,64,42,28672,bf16,fp8,8,4.45,40.28,fine,128,4,1792,4,2.1779,47251,1.1,1.8,medium
259,10752,5,168,64,42,28672,bf16,fp8,8,4.45,40.28,fine,128,4,1792,8,2.1779,45923,1.1,1.2,medium
260,6144,11,96,64,1,16384,bf16,fp8,8,4.55,4.55,dense,0,0,0,1,2.1857,40866,2.0,0.7,low
261,7680,8,120,64,30,20480,bf16,fp8,16,5.45,5.45,dense,0,0,0,1,2.1863,39478,1.7,1.0,medium
262,7680,8,120,64,15,20480,bf16,fp8,16,5.33,5.33,dense,0,0,0,1,2.1898,40008,1.6,0.9,low
263,7680,7,120,64,15,20480,bf16,bf16,16,4.72,4.72,dense,0,0,0,1,2.1981,27633,1.8,1.5,medium
264,7680,8,120,64,15,20480,bf16,fp8,8,5.33,5.33,dense,0,0,0,1,2.1999,40008,1.6,0.8,low
