rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
49,2560,14,20,128,5,6848,bf16,fp8,16,1.13,1.13,dense,0,0,0,1,2.3637,27394,2.7,1.2,high
50,2432,13,19,128,19,6464,bf16,fp8,16,1.08,1.08,dense,0,0,0,1,2.3637,28344,2.7,1.3,high
51,2304,13,18,128,18,6144,bf16,bf16,8,0.98,0.98,dense,0,0,0,1,2.3641,16386,3.1,2.0,high
52,2560,12,20,128,5,6848,bf16,bf16,16,0.99,0.99,dense,0,0,0,1,2.3643,18717,2.9,2.0,high
53,2560,12,20,128,20,6848,bf16,fp8,16,1.11,1.11,dense,0,0,0,1,2.3646,29145,2.6,1.3,high
54,2048,16,16,128,16,5440,bf16,bf16,8,0.93,0.93,dense,0,0,0,1,2.3647,16017,3.5,1.9,high
55,2048,20,16,128,8,5440,bf16,fp8,16,1.05,1.05,dense,0,0,0,1,2.3648,26518,3.6,1.2,high
56,2304,14,18,128,18,6144,bf16,fp8,16,1.04,1.04,dense,0,0,0,1,2.3649,28852,2.8,1.3,high
57,2304,12,18,128,18,6144,bf16,bf16,16,0.91,0.91,dense,0,0,0,1,2.3649,17735,3.0,2.0,high
58,2560,13,20,128,10,6848,bf16,fp8,16,1.1,1.1,dense,0,0,0,1,2.3650,28330,2.6,1.2,high
59,2048,18,16,128,4,5440,bf16,bf16,16,0.92,0.92,dense,0,0,0,1,2.3653,15968,3.7,1.9,high
60,2176,13,17,128,17,5824,bf16,bf16,16,0.88,0.88,dense,0,0,0,1,2.3658,17070,3.1,1.9,high
61,2304,13,18,128,9,6144,bf16,bf16,16,0.91,0.91,dense,0,0,0,1,2.3662,16614,3.0,1.9,high
62,2816,10,22,128,11,7488,bf16,bf16,16,1.05,1.05,dense,0,0,0,1,2.3669,18069,2.7,2.2,high
